Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2001 [YR2001]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Peru","PER","10061519","13341071","17359118","21826658","25914875","26261363","27949958","28292768","28642048","29001563","29373644","29759891","30158768","30565461","30973148",".."
"Population, total","SP.POP.TOTL","Philippines","PHL","26273023","35804731","47396966","61947340","77932247","79604541","87592899","88965508","90297115","91641881","93038902","94501233","96017322","97571676","99138690",".."
"Population, total","SP.POP.TOTL","Poland","POL","29637450","32664300","35574150","38110782","38258629","38248076","38141267","38120560","38125759","38151603","38042794","38063255","38063164","38040196","37995529",".."
"Population, total","SP.POP.TOTL","Portugal","PRT","8857716","8680431","9766312","9983218","10289898","10362722","10522288","10542964","10558177","10568247","10573100","10557560","10514844","10457295","10397393",".."
"Population, total","SP.POP.TOTL","Puerto Rico","PRI","2358000","2718000","3206000","3537000","3810605","3818774","3805214","3782995","3760866","3740410","3721527","3686771","3642281","3595839","3548397",".."
"Population, total","SP.POP.TOTL","Qatar","QAT","47309","109329","223715","476478","593453","613720","988448","1178955","1388962","1591151","1765513","1905437","2015624","2101288","2172065",".."
"Population, total","SP.POP.TOTL","Romania","ROM","18406905","20250398","22242653","23201835","22442971","22131970","21193760","20882982","20537875","20367487","20246871","20147528","20058035","19983693","19910995",".."
"Population, total","SP.POP.TOTL","Russian Federation","RUS","119897000","130404000","139010000","148292000","146596557","145976083","143049528","142805088","142742350","142785342","142849449","142960868","143201676","143506911","143819569",".."
"Population, total","SP.POP.TOTL","Rwanda","RWA","2933424","3754546","5140786","7259740","8021875","8329113","9231041","9481083","9750314","10024594","10293669","10556429","10817350","11078095","11341544",".."
"Population, total","SP.POP.TOTL","Samoa","WSM","108645","143175","155554","162865","174614","175567","181072","182238","183440","184700","186029","187434","188901","190390","191845",".."
"Population, total","SP.POP.TOTL","San Marino","SMR","15393","19136","21363","24045","27420","27771","29568","29874","30160","30431","30690","30938","31172","31391","31595",".."
"Population, total","SP.POP.TOTL","Sao Tome and Principe","STP","64255","74251","94953","113575","137164","140003","156584","160064","163595","167196","170880","174646","178484","182386","186342",".."
"Population, total","SP.POP.TOTL","Saudi Arabia","SAU","4086539","5836394","9912917","16361453","21392273","22007937","25419994","26083522","26742842","27409491","28090647","28788438","29496047","30201051","30886545",".."
"Population, total","SP.POP.TOTL","Senegal","SEN","3177560","4217754","5568651","7514201","9860578","10118078","11578430","11897230","12229703","12581624","12956791","13357003","13780108","14221041","14672557",".."
"Population, total","SP.POP.TOTL","Serbia","SRB","..","..","..","7586000","7516346","7503433","7411569","7381579","7350222","7320807","7291436","7234099","7199077","7164132","7129428",".."
"Population, total","SP.POP.TOTL","Seychelles","SYC","41700","53600","64400","70000","81131","81202","84600","85033","86956","87298","89770","87441","88303","89900","91526",".."
"Population, total","SP.POP.TOTL","Sierra Leone","SLE","2181701","2514151","3086406","3931208","4060709","4220198","5243214","5391108","5521838","5647194","5775902","5908908","6043157","6178859","6315627",".."
"Population, total","SP.POP.TOTL","Singapore","SGP","1646400","2074500","2413900","3047100","4027900","4138000","4401400","4588600","4839400","4987600","5076700","5183700","5312400","5399200","5469700",".."
"Population, total","SP.POP.TOTL","Sint Maarten (Dutch part)","SXM","..","..","..","..","30519","31189","38270","39462","40458","39133","35474","33435","34640","36607","37664",".."
"Population, total","SP.POP.TOTL","Slovak Republic","SVK","4068095","4538223","4979815","5299187","5388720","5378867","5373054","5374622","5379233","5386406","5391428","5398384","5407579","5413393","5418506",".."
"Population, total","SP.POP.TOTL","Slovenia","SVN","1584720","1724891","1901315","1998161","1988925","1992060","2006868","2018122","2021316","2039669","2048583","2052843","2057159","2059953","2062218",".."
"Population, total","SP.POP.TOTL","Solomon Islands","SLB","117869","160292","230614","311849","412336","423535","480716","492075","503410","514767","526177","537648","549162","560685","572171",".."
"Population, total","SP.POP.TOTL","Somalia","SOM","2756380","3445420","6089707","6321615","7385416","7610053","8686939","8909015","9132589","9356827","9581714","9806670","10033630","10268157","10517569",".."
"Population, total","SP.POP.TOTL","South Africa","ZAF","17396000","22087000","27576000","35200000","44000000","44909738","47991699","48656506","49344228","50055701","50791808","51553479","52341695","53157490","54001953",".."
"Population, total","SP.POP.TOTL","South Sudan","SSD","2955044","3647097","4701360","5762190","6692999","6967817","8445659","8815495","9208598","9623176","10056475","10510122","10980623","11453810","11911184",".."
"Population, total","SP.POP.TOTL","Spain","ESP","30455000","33814531","37439035","38850435","40263216","40756001","44397319","45226803","45954106","46362946","46576897","46742697","46773055","46620045","46404602",".."
"Population, total","SP.POP.TOTL","Sri Lanka","LKA","9896000","12514000","14747000","17015000","19102000","18797000","19858000","20039000","20246000","20450000","20653000","20869000","20328000","20483000","20639000",".."
"Population, total","SP.POP.TOTL","St. Kitts and Nevis","KNA","51197","44882","43205","40833","45544","46216","49818","50465","51093","51717","52352","52998","53650","54301","54944",".."
"Population, total","SP.POP.TOTL","St. Lucia","LCA","89901","104162","117984","138180","156949","158650","167656","170146","172729","175196","177397","179278","180890","182305","183645",".."
"Population, total","SP.POP.TOTL","St. Martin (French part)","MAF","4279","5450","7580","30036","28384","27782","28414","28905","29376","29820","30235","30615","30959","31264","31530",".."
"Population, total","SP.POP.TOTL","St. Vincent and the Grenadines","VCT","80948","90457","100506","107509","107897","107989","108908","109049","109165","109255","109316","109341","109334","109327","109360",".."
"Population, total","SP.POP.TOTL","Sudan","SDN","7527450","10232758","14418063","20008804","28079664","28805142","32809056","33637960","34470138","35297298","36114885","36918193","37712420","38515095","39350274",".."
"Population, total","SP.POP.TOTL","Suriname","SUR","289972","371268","362777","408276","480751","484210","495953","500953","506657","512522","518141","523439","528535","533450","538248",".."
"Population, total","SP.POP.TOTL","Swaziland","SWZ","349233","445844","603373","862728","1063715","1074765","1118204","1134853","1153750","1173529","1193148","1212458","1231694","1250641","1269112",".."
"Population, total","SP.POP.TOTL","Sweden","SWE","7484656","8042801","8310531","8558835","8872109","8895960","9080505","9148092","9219637","9298515","9378126","9449213","9519374","9600379","9689555",".."
"Population, total","SP.POP.TOTL","Switzerland","CHE","5327827","6180877","6319408","6715519","7184250","7229854","7483934","7551117","7647675","7743831","7824909","7912398","7996861","8089346","8190229",".."
"Population, total","SP.POP.TOTL","Syrian Arab Republic","SYR","4592777","6378802","8956156","12451539","16354050","16694414","18728200","19425597","20097057","20566871","20720602","21070917","21427155","21789415","22157800",".."
"Population, total","SP.POP.TOTL","Tajikistan","TJK","2064035","2919586","3917642","5297286","6186152","6290413","6949566","7099021","7254072","7414960","7581696","7753925","7930929","8111894","8295840",".."
"Population, total","SP.POP.TOTL","Tanzania","TZA","10074490","13605504","18684893","25458208","33991590","34899062","40260847","41522004","42844744","44222113","45648525","47122998","48645709","50213457","51822621",".."
"Population, total","SP.POP.TOTL","Thailand","THA","27397178","36884914","47385325","56582824","62693322","63415174","66174486","66353572","66453255","66548197","66692024","66902958","67164130","67451422","67725979",".."
"Population, total","SP.POP.TOTL","Timor-Leste","TMP","499525","602737","577580","740231","847185","865848","996052","1013194","1030630","1048367","1066409","1120392","1148958","1180069","1212107",".."
"Population, total","SP.POP.TOTL","Togo","TGO","1580513","2115521","2720838","3786942","4874735","5006223","5732175","5890414","6052937","6219761","6390851","6566179","6745581","6928719","7115163",".."
"Population, total","SP.POP.TOTL","Tonga","TON","61600","84370","93007","95152","97898","98434","101507","102169","102816","103416","103947","104392","104769","105139","105586",".."
"Population, total","SP.POP.TOTL","Trinidad and Tobago","TTO","848481","945996","1085308","1221904","1267980","1272383","1303141","1309260","1315372","1321624","1328095","1334790","1341579","1348240","1354483",".."
"Population, total","SP.POP.TOTL","Tunisia","TUN","4220701","5127000","6384000","8154400","9552500","9650600","10127900","10225100","10328900","10439600","10547100","10673800","10777500","10886500","10996600",".."
"Population, total","SP.POP.TOTL","Turkey","TUR","27553280","34772031","43905790","53994605","63240157","64182694","68704721","69515492","70344357","71261307","72310416","73199372","74099255","75010202","75932348",".."
"Population, total","SP.POP.TOTL","Turkmenistan","TKM","1593501","2188499","2861000","3668000","4501419","4551762","4801594","4858235","4917541","4978960","5041995","5106672","5172941","5240088","5307188",".."
"Population, total","SP.POP.TOTL","Turks and Caicos Islands","TCA","5724","5632","7525","11550","18876","20186","27642","28638","29481","30247","30993","31727","32430","33103","33740",".."
"Population, total","SP.POP.TOTL","Tuvalu","TUV","6104","7296","8051","9004","9419","9471","9732","9764","9788","9808","9827","9844","9860","9876","9893",".."
"Population, total","SP.POP.TOTL","Uganda","UGA","6788211","9446024","12547754","17384369","23757636","24534668","29000925","29991958","31014427","32067125","33149417","34260342","35400620","36573387","37782971",".."
"Population, total","SP.POP.TOTL","Ukraine","UKR","42662150","47086758","49968811","51892000","49175848","48683865","46787750","46509350","46258200","46053300","45870700","45706100","45593300","45489600","45362900",".."
"Population, total","SP.POP.TOTL","United Arab Emirates","ARE","92612","235434","1016789","1811458","3050128","3217865","5171255","6010100","6900142","7705423","8329453","8734722","8952542","9039978","9086139",".."
"Population, total","SP.POP.TOTL","United Kingdom","GBR","52400000","55663250","56314216","57247586","58892514","59119673","60846820","61322463","61806995","62276270","62766365","63258918","63700300","64106779","64510376",".."
"Population, total","SP.POP.TOTL","United States","USA","180671000","205052000","227225000","249623000","282162411","284968955","298379912","301231207","304093966","306771529","309347057","311721632","314112078","316497531","318857056",".."
"Population, total","SP.POP.TOTL","Uruguay","URY","2538651","2809799","2915775","3109987","3321242","3327105","3331041","3339750","3350832","3362761","3374414","3385610","3396753","3407969","3419516",".."
"Population, total","SP.POP.TOTL","Uzbekistan","UZB","8789492","11972994","15951899","20510000","24650400","24964450","26488250","26868000","27302800","27767400","28562400","29339400","29774500","30243200","30742500",".."
"Population, total","SP.POP.TOTL","Vanuatu","VUT","63701","85388","115634","146633","185058","189288","214635","219956","225335","230782","236299","241876","247498","253165","258883",".."
"Population, total","SP.POP.TOTL","Venezuela, RB","VEN","8146845","11587758","15343917","19861959","24481477","24940223","27221228","27670659","28116716","28558607","28995745","29427631","29854238","30276045","30693827",".."
"Population, total","SP.POP.TOTL","Vietnam","VNM","34743000","42729000","53700000","66016700","77630900","78620500","83311200","84218500","85118700","86025000","86932500","87840000","88772900","89708900","90730000",".."
"Population, total","SP.POP.TOTL","Virgin Islands (U.S.)","VIR","32000","63000","97000","103963","108639","108386","107700","107423","107091","106707","106267","105784","105275","104737","104170",".."
"Population, total","SP.POP.TOTL","West Bank and Gaza","WBG","..","..","..","1978248","2922153","2997784","3406334","3494496","3596688","3702218","3811102","3927051","4046901","4169506","4294682",".."
"Population, total","SP.POP.TOTL","Yemen, Rep.","YEM","5166311","6156234","8059381","11961099","17795219","18306287","21093973","21701105","22322699","22954226","23591972","24234940","24882792","25533217","26183676",".."
"Population, total","SP.POP.TOTL","Zambia","ZMB","3049586","4185378","5929497","8143142","10585220","10861238","12381509","12738676","13114579","13507849","13917439","14343526","14786581","15246086","15721343",".."
"Population, total","SP.POP.TOTL","Zimbabwe","ZWE","3752390","5206311","7289083","10484771","12499981","12603988","13127942","13297798","13495462","13720997","13973897","14255592","14565482","14898092","15245855",".."
,"","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","",""
Last Updated: 11/12/2015,"","","","","","","","","","","","","","","","","","",""
